Market,LoadFactor,FlightCount,Bookings,Revenue,AvgFare,RASM,RpS,Slope,Lat1,Lon1,Lat2,Lon2,Distance,cluster_Geo,cluster_Slope,cluster_Dist
BLLMLA,0.896161255,222,38146,2603690.065,68.2559,0.027161769,61.16830486,-0.006541043,55.7403,9.1528,35.83667,14.54722,2252,10,2,5
CGNFAO,0.953392475,279,50403,4507004.271,89.4193,0.043674052,85.25175007,-0.005703836,50.86583,7.141944,37.01445,-7.970833,1952,5,2,9
PMIVLL,0.944881221,248,44468,1943867.581,43.7138,0.060474961,41.30439806,-0.008343661,41.70555,-4.854167,39.55361,2.727778,683,1,5,1
AGACRL,0.951945847,483,88035,8038902.722,91.3148,0.034494758,86.92679119,-0.007511166,50.4617,4.455,30.38056,-9.545834,2520,12,5,5
GDNNAP,0.964319044,170,30999,2018616.185,65.1187,0.040935627,62.79525245,-0.006767444,54.3667,18.65,40.88611,14.29167,1534,10,2,7
KGSWAW,0.941106072,84,14941,1738.1048,0.1163,6.16e-05,0.10948002,-0.005955199,52.1667,20.9667,36.79306,27.09528,1777,14,2,9
EINSTN,0.91913712,2128,372052,15702343.01,42.2046,0.108055449,38.79190632,-0.010757216,51.8828,0.2339,51.4533,5.3889,359,3,1,6
EDIKRK,0.975105844,467,88211,7407669.141,83.9767,0.049033638,81.88617601,-0.006818355,55.94861,-3.350278,50.08333,19.78333,1670,9,2,7
ATHCRL,0.986676473,682,127449,10965614.23,86.0392,0.041070579,84.89288712,-0.005433364,50.4617,4.455,37.89583,23.72889,2067,13,4,5
FEZFNI,0.971835777,310,57142,3375055.498,59.0643,0.0421755,57.40085544,-0.009495919,43.75861,4.416667,33.92889,-4.9775,1361,12,1,2
KRKLPA,0.958291612,134,24883,3202025.069,128.6832,0.031996904,123.3160698,-0.005228068,50.08333,19.78333,27.93194,-15.38333,3854,11,4,4
STNSVQ,0.944857609,1044,187524,12909742.91,68.8431,0.038718437,65.04697435,-0.007327061,51.8828,0.2339,37.415,-5.8975,1680,5,5,7
CPHGDN,0.900382375,476,81002,2745737.634,33.8971,0.074804912,30.52040409,-0.010219188,55.6081,12.6333,54.3667,18.65,408,8,1,6
BUDEDI,0.961365943,508,94733,8705099.107,91.8908,0.048780103,88.34076625,-0.005373344,55.94861,-3.350278,47.4333,19.2333,1811,9,4,9
CHQSTN,0.927866746,226,40442,5177095.277,128.0128,0.045249089,118.7788574,-0.004238569,51.8828,0.2339,35.5325,24.1483,2625,13,4,10
KTWRHO,0.882503964,287,46748,5515.7991,0.1179,6.03e-05,0.104126691,-0.00436293,50.48333,19.08333,36.38472,28.11833,1727,14,4,7
ALCEMA,0.948046768,1216,221039,19987817.1,90.4266,0.052918949,85.72869675,-0.003760325,52.83,-1.329444,38.2825,-0.5583333,1620,20,4,7
CRLTIA,0.859328333,158,25895,1075690.969,41.5404,0.023089857,35.69691941,-0.014712829,50.4617,4.455,41.41694,19.71667,1546,7,3,7
NAPSOF,0.935827873,304,54847,2477382.373,45.1689,0.054054193,42.270379,-0.008733334,42.7,23.4,40.88611,14.29167,782,17,5,8
BVAVNO,0.979949977,258,47800,3164839.719,66.21,0.038666581,64.88252324,-0.007585041,54.6333,25.2833,49.4558,2.1125,1678,9,5,7
AMMFMM,0.988064476,86,16060,1194431.193,74.373,0.02601252,73.48536932,-0.007343483,47.9886,10.2394,31.72361,35.99528,2825,14,5,10
BLQEIN,0.952075183,459,83477,4922799.628,58.9719,0.063369875,56.14570909,-0.009362871,51.4533,5.3889,44.5306,11.2925,886,7,1,8
PSRSTN,0.897461052,630,107033,6622389.598,61.8724,0.037392645,55.52807766,-0.007305357,51.8828,0.2339,42.43389,14.18444,1485,3,5,7
CFUPOZ,0.907058001,106,18172,1466764.05,80.7156,0.050666948,73.21373914,-0.005120119,52.41694,16.88333,39.60139,19.91028,1445,10,4,2
AGPMAN,0.959289479,1275,235731,19619114.71,83.2267,0.042831815,79.8385037,-0.003702628,53.35333,-2.276667,36.6717,-4.4981,1864,5,4,9
LISPOZ,0.952039931,48,8774,662855.0066,75.5476,0.028689418,71.92437138,-0.009829588,52.41694,16.88333,38.7819,-9.1333,2507,19,1,5
CAGGOA,0.917848949,226,39205,1630088.346,41.5785,0.066370189,38.16285869,-0.01017022,44.41306,8.837778,39.24722,9.061111,575,15,1,1
FCOPMO,0.952935596,3969,715141,31245285.46,43.691,0.10179655,41.63478909,-0.01142332,41.8003,12.2389,38.1811,13.105,409,6,1,6
BLQCAG,0.950592739,1205,218508,11330747.43,51.855,0.080021189,49.29305212,-0.008035201,44.5306,11.2925,39.24722,9.061111,616,15,5,1
LPAMAN,0.913746301,470,82133,8218992.11,100.0693,0.030217434,91.43795596,-0.004166024,53.35333,-2.276667,27.93194,-15.38333,3026,11,4,10
ALCBHX,0.945162155,1073,193952,16777257.66,86.5021,0.051778672,81.75852274,-0.003693056,52.45306,-1.746389,38.2825,-0.5583333,1579,20,4,7
BUDTSF,0.951191734,320,57627,2444685.817,42.4225,0.070299659,40.3520041,-0.009963073,47.4333,19.2333,45.6506,12.1956,574,10,1,1
CLJDUB,0.997195263,236,44798,4430178.825,98.8923,0.044004894,98.61496805,-0.00641053,53.4325,-6.252222,46.78333,23.68333,2241,9,2,5
MAHMAN,0.901842827,68,11843,724709.634,61.193,0.03495031,55.18653929,-0.004426669,53.35333,-2.276667,39.86139,4.215278,1579,20,4,7
PFOWRO,0.943779756,340,61055,4179955.479,68.4621,0.029210296,64.6131744,-0.006678645,51.1,16.8833,34.71944,32.48472,2212,14,2,5
NRNTIA,0.961688889,58,10819,528565.9217,48.8553,0.030668171,46.98363748,-0.01241258,51.5993,6.1502,41.41694,19.71667,1532,7,1,7
AMMBUD,0.89368312,214,36246,2470804.604,68.1676,0.027039626,60.92027724,-0.007900651,47.4333,19.2333,31.72361,35.99528,2253,4,5,5
RAKSDR,0.886503928,224,37914,1993018.425,52.5668,0.034114709,46.60069269,-0.009407287,43.42916,-3.826389,31.60833,-8.038333,1366,12,1,2
BLQSCQ,0.938069519,159,28310,1617499.486,57.1352,0.033687527,53.59685498,-0.005230975,44.5306,11.2925,42.895,-8.415,1591,1,4,7
BVAORK,0.802469136,75,11375,419942.1413,36.9179,0.037358825,29.62554789,-0.007538752,51.84083,-8.488889,49.4558,2.1125,793,16,5,8
CIAMLA,0.928496688,1024,182795,7186400.87,39.3139,0.05328892,36.50290986,-0.007772473,41.7995,12.5933,35.83667,14.54722,685,6,5,1
DUBKGS,0.916824103,106,18441,2072901.555,112.4072,0.032602863,103.0576491,-0.003389414,53.4325,-6.252222,36.79306,27.09528,3161,13,4,4
TIAWRO,0.910373577,33,5678,644.289,0.1134,9.4e-05,0.103301106,-0.005772052,51.1,16.8833,41.41694,19.71667,1099,10,2,3
CRLOPO,0.981780429,773,144684,11515551.85,79.591,0.054226883,78.14093773,-0.008354714,50.4617,4.455,41.23806,-8.674723,1441,5,5,2
CIASKG,0.972903473,524,96477,4869879.589,50.4771,0.05580608,49.10935006,-0.006424994,41.7995,12.5933,40.52083,22.97222,880,17,2,8
NRNPMI,0.922735547,972,171328,13888847.56,81.0658,0.054760123,74.80232862,-0.005389123,51.5993,6.1502,39.55361,2.727778,1366,2,4,2
CRLNTE,0.792009238,114,17147,515798.8498,30.0809,0.041361853,23.82442724,-0.011559088,50.4617,4.455,47.15833,-1.609722,576,20,1,1
ALCBER,0.978746084,240,44991,4502896.888,100.0843,0.051152588,97.95720692,-0.006064914,52.5117,13.4025,38.2825,-0.5583333,1915,19,2,9
ACEVIE,0.917493172,74,12766,1109087.686,86.8782,0.023829655,79.71019737,-0.007076824,48.1111,16.5583,28.9425,-13.60472,3345,11,2,4
